"genus","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Actinia",19,25,44,43.1818181818182,"Visual"
"Alaria",0,9,9,0,"Visual"
"Anemonia",0,10,10,0,"Visual"
"Ascophyllum",3,21,24,12.5,"Visual"
"Asparagopsis",8,1,9,88.8888888888889,"eDNA"
"Asterias",6,1,7,85.7142857142857,"eDNA"
"Aulactinia",1,0,1,100,"eDNA"
"Austrominius",8,10,18,44.4444444444444,"Visual"
"Balanus",7,3,10,70,"eDNA"
"Bifurcaria",3,6,9,33.3333333333333,"Visual"
"Botrylloides",19,1,20,95,"eDNA"
"Calliblepharis",5,3,8,62.5,"eDNA"
"Calliostoma",2,4,6,33.3333333333333,"Visual"
"Caulacanthus",12,1,13,92.3076923076923,"eDNA"
"Chondracanthus",1,2,3,33.3333333333333,"Visual"
"Chondrus",21,22,43,48.8372093023256,"Visual"
"Chthamalus",11,17,28,39.2857142857143,"Visual"
"Clibanarius",0,2,2,0,"Visual"
"Codium",0,4,4,0,"Visual"
"Colpomenia",5,3,8,62.5,"eDNA"
"Corella",8,2,10,80,"eDNA"
"Crepidula",0,1,1,0,"Visual"
"Dasysiphonia",2,0,2,100,"eDNA"
"Dendrodoa",3,0,3,100,"eDNA"
"Ericaria",0,2,2,0,"Visual"
"Fucus",53,29,82,64.6341463414634,"eDNA"
"Grateloupia",2,2,4,50,"Equal"
"Halichondria",6,10,16,37.5,"Visual"
"Halidrys",18,10,28,64.2857142857143,"eDNA"
"Haliotis",1,0,1,100,"eDNA"
"Himanthalia",21,14,35,60,"eDNA"
"Hymeniacidon",28,16,44,63.6363636363636,"eDNA"
"Laminaria",24,22,46,52.1739130434783,"eDNA"
"Lichina",0,13,13,0,"Visual"
"Littorina",40,29,69,57.9710144927536,"eDNA"
"Mastocarpus",37,18,55,67.2727272727273,"eDNA"
"Melarhaphe",7,18,25,28,"Visual"
"Mytilus",13,11,24,54.1666666666667,"eDNA"
"Nucella",5,28,33,15.1515151515152,"Visual"
"Onchidella",0,1,1,0,"Visual"
"Palmaria",2,15,17,11.7647058823529,"Visual"
"Patella",23,29,52,44.2307692307692,"Visual"
"Pelvetia",0,22,22,0,"Visual"
"Perforatus",4,8,12,33.3333333333333,"Visual"
"Phorcus",8,13,21,38.0952380952381,"Visual"
"Sabellaria",25,1,26,96.1538461538462,"eDNA"
"Saccharina",0,6,6,0,"Visual"
"Saccorhiza",5,6,11,45.4545454545455,"Visual"
"Sargassum",1,8,9,11.1111111111111,"Visual"
"Semibalanus",20,29,49,40.8163265306122,"Visual"
"Steromphala",25,25,50,50,"Equal"
"Treptacantha",0,1,1,0,"Visual"
